<Sum> [stat]player_ammo_restored  = 16444

<Sum> [stat]player_climb_assists  = 4536 //ajuda escalada coop

<Sum> [stat]player_climb_coops  = 2807 //escalada coop

<Sum> [stat]player_damage  = 77175151 //dano causado

<Sum> [mode]PVE [stat]player_deaths  = 2019 //mortes do coop

<Sum> [mode]PVP [stat]player_deaths  = 58209

<Sum> [class]Heavy [mode]PVE [stat]player_headshots  = 320 //hs sed coop

<Sum> [class]Recon [mode]PVE [stat]player_headshots  = 4765 //hs fuzil coop

<Sum> [class]Recon [mode]PVP [stat]player_headshots  = 1427

<Sum> [class]Medic [mode]PVP [stat]player_headshots  = 1709
<Sum> [class]Rifleman [mode]PVP [stat]player_headshots  = 4159
<Sum> [class]Engineer [mode]PVP [stat]player_headshots  = 13789
<Sum> [class]Engineer [mode]PVE [stat]player_headshots  = 22180
<Sum> [class]Medic [mode]PVE [stat]player_headshots  = 2691
<Sum> [class]Rifleman [mode]PVE [stat]player_headshots  = 11219
<Sum> [stat]player_heal  = 582071
<Sum> [class]Medic [mode]PVE [stat]player_hits  = 172020
<Sum> [class]Rifleman [mode]PVE [stat]player_hits  = 80009
<Sum> [class]Engineer [mode]PVP [stat]player_hits  = 158207
<Sum> [class]Rifleman [mode]PVP [stat]player_hits  = 31372
<Sum> [class]Recon [mode]PVP [stat]player_hits  = 21495
<Sum> [class]Engineer [mode]PVE [stat]player_hits  = 212518
<Sum> [class]Medic [mode]PVP [stat]player_hits  = 131434
<Sum> [class]Heavy [mode]PVE [stat]player_hits  = 2913
<Sum> [class]Heavy [mode]PVP [stat]player_hits  = 10
<Sum> [class]Recon [mode]PVE [stat]player_hits  = 45816
<Sum> [mode]PVE [stat]player_kill_streak  = 0
<Sum> [mode]PVP [stat]player_kill_streak  = 0
<Sum> [mode]PVE [stat]player_kills_ai  = 111654
<Sum> [class]Engineer [mode]PVP [stat]player_kills_claymore  = 103
<Sum> [class]Heavy [mode]PVE [stat]player_kills_claymore  = 2
<Sum> [class]Engineer [mode]PVE [stat]player_kills_claymore  = 15
<Sum> [class]Recon [mode]PVP [stat]player_kills_claymore  = 18
<Sum> [class]Recon [mode]PVE [stat]player_kills_claymore  = 3
<Sum> [class]Rifleman [mode]PVP [stat]player_kills_claymore  = 2
<Sum> [mode]PVE [stat]player_kills_melee  = 582
<Sum> [mode]PVP [stat]player_kills_melee  = 635
<Sum> [mode]PVP [stat]player_kills_player  = 89340
<Sum> [mode]PVE [stat]player_kills_player  = 34
<Sum> [mode]PVP [stat]player_kills_player_friendly  = 122
<Sum> [mode]PVE [stat]player_kills_player_friendly  = 180


<Sum> [stat]player_max_damage  = 29997
<Sum> [stat]player_max_session_time  = 52784
<Sum> [stat]player_online_time  = 93435136
<Sum> [class]Recon [mode]PVE [stat]player_playtime  = 1749754
<Sum> [class]Recon [mode]PVP [stat]player_playtime  = 7325401
<Sum> [class]Medic [mode]PVP [stat]player_playtime  = 12262607
<Sum> [class]Rifleman [mode]PVP [stat]player_playtime  = 3721657
<Sum> [class]Engineer [mode]PVP [stat]player_playtime  = 15164298
<Sum> [class]Engineer [mode]PVE [stat]player_playtime  = 3004388
<Sum> [class]Medic [mode]PVE [stat]player_playtime  = 1549114
<Sum> [class]Rifleman [mode]PVE [stat]player_playtime  = 1222158
<Sum> [class]Heavy [mode]PVE [stat]player_playtime  = 33724
<Sum> [class]Heavy [mode]PVP [stat]player_playtime  = 239

<Sum> [stat]player_repair  = 1583035

<Sum> [class]Engineer [stat]player_resurrect_made  = 1//sed ressucitado

<Sum> [class]Medic [stat]player_resurrect_made  = 147/ress como medico

<Sum> [stat]player_resurrect_made  = 7627

<Sum> [stat]player_resurrected_by_coin  = 839//moedas usadas

<Sum> [stat]player_resurrected_by_medic  = 6040 //ress por med

<Sum> [difficulty] [mode]PVP [stat]player_sessions_draw  = 324


<Sum> [mode]PVE [stat]player_sessions_kicked  = 8 //expulso do coop
<Sum> [mode]PVP [stat]player_sessions_kicked  = 33
<Sum> [mode]PVP [stat]player_sessions_left  = 194
<Sum> [mode]PVE [stat]player_sessions_left  = 65



<Sum> [difficulty]hardmission [mode]PVE [stat]player_sessions_lost  = 1
<Sum> [difficulty]anubisnormal [mode]PVE [stat]player_sessions_lost  = 173
<Sum> [difficulty] [mode]PVP [stat]player_sessions_lost  = 2185
<Sum> [difficulty]icebreakernormal [mode]PVE [stat]player_sessions_lost  = 5
<Sum> [difficulty]anubisnormal2 [mode]PVE [stat]player_sessions_lost  = 3
<Sum> [difficulty]survivalmission [mode]PVE [stat]player_sessions_lost  = 1
<Sum> [difficulty]volcanonormal [mode]PVE [stat]player_sessions_lost  = 1
<Sum> [difficulty]volcanohard [mode]PVE [stat]player_sessions_lost  = 9
<Sum> [difficulty]volcanosurvival [mode]PVE [stat]player_sessions_lost  = 7
<Sum> [difficulty]blackwood [mode]PVE [stat]player_sessions_lost  = 5
<Sum> [difficulty]swarm [mode]PVE [stat]player_sessions_lost  = 2
<Sum> [difficulty]chernobylnormal [mode]PVE [stat]player_sessions_lost  = 46
<Sum> [difficulty]anubishard [mode]PVE [stat]player_sessions_lost  = 2
<Sum> [difficulty]campaignsections [mode]PVE [stat]player_sessions_lost  = 2
<Sum> [difficulty]zombieeasy [mode]PVE [stat]player_sessions_lost  = 5
<Sum> [difficulty]pve_arena [mode]PVE [stat]player_sessions_lost  = 2
<Sum> [mode]PVE [stat]player_sessions_lost_connection  = 455
<Sum> [mode]PVP [stat]player_sessions_lost_connection  = 6305
<Sum> [difficulty]blackwood [mode]PVE [stat]player_sessions_won  = 10
<Sum> [difficulty]trainingmission [mode]PVE [stat]player_sessions_won  = 2
<Sum> [difficulty]easymission [mode]PVE [stat]player_sessions_won  = 11
<Sum> [difficulty]normalmission [mode]PVE [stat]player_sessions_won  = 29
<Sum> [difficulty] [mode]PVP [stat]player_sessions_won  = 3797
<Sum> [difficulty]zombieeasy [mode]PVE [stat]player_sessions_won  = 8
<Sum> [difficulty]hardmission [mode]PVE [stat]player_sessions_won  = 14
<Sum> [difficulty]zombietowernormal [mode]PVE [stat]player_sessions_won  = 4
<Sum> [difficulty]anubisnormal2 [mode]PVE [stat]player_sessions_won  = 2
<Sum> [difficulty]volcanonormal [mode]PVE [stat]player_sessions_won  = 3
<Sum> [difficulty]volcanohard [mode]PVE [stat]player_sessions_won  = 24
<Sum> [difficulty]volcanosurvival [mode]PVE [stat]player_sessions_won  = 4
<Sum> [difficulty]chernobyleasy [mode]PVE [stat]player_sessions_won  = 4
<Sum> [difficulty]survivalmission [mode]PVE [stat]player_sessions_won  = 5
<Sum> [difficulty]campaignsections [mode]PVE [stat]player_sessions_won  = 3
<Sum> [difficulty]chernobylnormal [mode]PVE [stat]player_sessions_won  = 3
<Sum> [difficulty]campaignsection3 [mode]PVE [stat]player_sessions_won  = 2
<Sum> [difficulty]campaignsection2 [mode]PVE [stat]player_sessions_won  = 1
<Sum> [difficulty]campaignsection1 [mode]PVE [stat]player_sessions_won  = 1
<Sum> [difficulty]icebreakereasy [mode]PVE [stat]player_sessions_won  = 1
<Sum> [difficulty]swarm [mode]PVE [stat]player_sessions_won  = 2
<Sum> [difficulty]japaneasy [mode]PVE [stat]player_sessions_won  = 2
<Sum> [difficulty]volcanoeasy [mode]PVE [stat]player_sessions_won  = 1
<Sum> [difficulty]solomission [mode]PVE [stat]player_sessions_won  = 2
<Sum> [difficulty]anubisnormal [mode]PVE [stat]player_sessions_won  = 82

<Sum> [class]Engineer [mode]PVE [stat]player_shots  = 567630
<Sum> [class]Medic [mode]PVE [stat]player_shots  = 525123
<Sum> [class]Rifleman [mode]PVE [stat]player_shots  = 207798
<Sum> [class]Medic [mode]PVP [stat]player_shots  = 653010
<Sum> [class]Recon [mode]PVP [stat]player_shots  = 63068
<Sum> [class]Recon [mode]PVE [stat]player_shots  = 76007
<Sum> [class]Heavy [mode]PVE [stat]player_shots  = 11225
<Sum> [class]Heavy [mode]PVP [stat]player_shots  = 30
<Sum> [class]Rifleman [mode]PVP [stat]player_shots  = 169199
<Sum> [class]Engineer [mode]PVP [stat]player_shots  = 807311
<Sum> [class]Rifleman [item_type]ar20_crown_shop [stat]player_wpn_usage  = 6069
<Sum> [class]Engineer [item_type]smg03_crown_shop [stat]player_wpn_usage  = 1401
<Sum> [class]Heavy [item_type]hmg02_shop [stat]player_wpn_usage  = 1076
<Sum> [class]Recon [item_type]pt39_xmas06_shop [stat]player_wpn_usage  = 983
<Sum> [class]Recon [item_type]sr47_joker02_shop [stat]player_wpn_usage  = 21740
<Sum> [class]Recon [item_type]pt33_joker02_shop [stat]player_wpn_usage  = 1104
<Sum> [class]Engineer [item_type]pt33_joker02_shop [stat]player_wpn_usage  = 2830
<Sum> [class]Rifleman [item_type]kn03_xmas [stat]player_wpn_usage  = 16
<Sum> [class]Rifleman [item_type]pt33_joker02_shop [stat]player_wpn_usage  = 1348
<Sum> [class]Heavy [item_type]hmg01_shop [stat]player_wpn_usage  = 15
<Sum> [class]Medic [item_type]shg07_crown_shop [stat]player_wpn_usage  = 4832
<Sum> [class]Recon [item_type]shg41_shop [stat]player_wpn_usage  = 56
<Sum> [class]Medic [item_type]smg10_shop [stat]player_wpn_usage  = 24
<Sum> [class]Recon [item_type]pt06_camo02_shop [stat]player_wpn_usage  = 3685
<Sum> [class]Medic [item_type]shg46_shop [stat]player_wpn_usage  = 24857
<Sum> [class]Medic [item_type]pt37_shop [stat]player_wpn_usage  = 112151
<Sum> [class]Recon [item_type]pt37_shop [stat]player_wpn_usage  = 15158
<Sum> [class]Rifleman [item_type]pt37_shop [stat]player_wpn_usage  = 20614
<Sum> [class]Engineer [item_type]pt37_shop [stat]player_wpn_usage  = 64586
<Sum> [class]Rifleman [item_type]ar33_shop [stat]player_wpn_usage  = 31296
<Sum> [class]Recon [item_type]smg25_shop [stat]player_wpn_usage  = 30
<Sum> [class]Medic [item_type]sr31_shop [stat]player_wpn_usage  = 206
<Sum> [class]Engineer [item_type]smg33_ice01_shop [stat]player_wpn_usage  = 7022
<Sum> [class]Heavy [item_type]sr45_shop [stat]player_wpn_usage  = 909
<Sum> [class]Rifleman [item_type]ar24_camo09_shop [stat]player_wpn_usage  = 3195
<Sum> [class]Recon [item_type]ar11_shop [stat]player_wpn_usage  = 20
<Sum> [class]Rifleman [item_type]ar26_anubis_shop [stat]player_wpn_usage  = 72224
<Sum> [class]Medic [item_type]sr31_lava01_shop [stat]player_wpn_usage  = 4
<Sum> [class]Rifleman [item_type]ar06_camo03_shop [stat]player_wpn_usage  = 1283
<Sum> [class]Medic [item_type]pt33_joker02_shop [stat]player_wpn_usage  = 2602
<Sum> [class]Engineer [item_type]df05 [stat]player_wpn_usage  = 374
<Sum> [class]Medic [item_type]kn03_xmas [stat]player_wpn_usage  = 77
<Sum> [class]Medic [item_type]sr44_shop [stat]player_wpn_usage  = 136
<Sum> [class]Engineer [item_type]smg35_anubis_shop [stat]player_wpn_usage  = 652
<Sum> [class]Recon [item_type]sr31_camo08_shop [stat]player_wpn_usage  = 64349
<Sum> [class]Medic [item_type]shg40_camo08_shop [stat]player_wpn_usage  = 88896
<Sum> [class]Engineer [item_type]smg38_camo08_shop [stat]player_wpn_usage  = 34085
<Sum> [class]Rifleman [item_type]pt02_anubis_shop [stat]player_wpn_usage  = 3517
<Sum> [class]Medic [item_type]ar29_shop [stat]player_wpn_usage  = 296
<Sum> [class]Engineer [item_type]smg18_anubis_shop [stat]player_wpn_usage  = 9449
<Sum> [class]Medic [item_type]smg10_crown_shop [stat]player_wpn_usage  = 336
<Sum> [class]Rifleman [item_type]ar11_crown_shop [stat]player_wpn_usage  = 11124
<Sum> [class]Medic [item_type]ar30_shop [stat]player_wpn_usage  = 20
<Sum> [class]Recon [item_type]smg42_shop [stat]player_wpn_usage  = 27
<Sum> [class]Rifleman [item_type]ar02_set01_shop [stat]player_wpn_usage  = 640
<Sum> [class]Engineer [item_type]smg06_set01_shop [stat]player_wpn_usage  = 21700
<Sum> [class]Rifleman [item_type]ar29_gold01_shop [stat]player_wpn_usage  = 4656
<Sum> [class]Medic [item_type]shg22_bra02_shop [stat]player_wpn_usage  = 23284
<Sum> [class]Rifleman [item_type]ar26_set09_shop [stat]player_wpn_usage  = 1344
<Sum> [class]Medic [item_type]shg37_shop [stat]player_wpn_usage  = 112
